event_name,event_type,expected_signups,planned_quantity,cost_per_person,time_slot,registration_timing,interest_match_score,historical_show_rate
Spring Club Fair,food_social,150,150,18,friday_afternoon,over_two_weeks,0.5,
CS Cybersecurity Workshop,academic_workshop,60,60,8,prime_time,one_day_before,0.9,0.70
Career Networking Night,career_fair,200,200,12,friday_afternoon,over_one_week,0.6,
SWE Club Meeting,club_meeting,40,40,5,prime_time,two_to_seven_days,0.8,0.60
Finals Week Study Social,food_social,80,80,15,finals_week,over_two_weeks,0.4,
Tuesday Tech Talk,academic_workshop,50,50,8,prime_time,same_day,0.85,
Weekend Hackathon Kickoff,general,120,120,20,weekend,over_one_week,0.7,
Monday Morning Seminar,academic_workshop,35,35,6,monday_morning,two_to_seven_days,0.5,
Midterm Stress Relief Social,food_social,100,100,18,midterm_week,one_day_before,0.6,
Industry Panel Discussion,career_fair,90,90,10,prime_time,two_to_seven_days,0.75,0.65
